Metro,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
"Akron, OH",234796.0785337896,247409.3722060438,261301.53062217217,276586.1981999797,293410.38286041375,312763.86015635973,334145.397351033,356831.2620612338,381847.75313193654,408723.91683594737,435833.8843661328,470673.2513498853,506351.36635710177,544545.0729871806,589143.241107802,638329.8897679524,692675.4685068396,755417.2244715001,809938.1133949374,879711.6926009636,949319.0118560216,1036285.3727725624,1136957.1304406398,1248550.0790490122,1346429.2129868325
"Albany, NY",334971.70757961494,356026.99801289913,379245.9417199371,404864.6837246654,433153.266603234,465807.8239849738,502016.2899221387,540580.4306393642,583271.1216634571,630552.7121343225,682941.8030990752,743611.1595802417,811079.2694552587,883125.8678205999,963066.70360544,1051790.0932201825,1150284.3128310724,1264546.9758041955,1391815.8956884153,1527915.6257028838,1679117.3125096157,1847120.336977832,2042181.097516188,2259606.64325309,2451177.2415190963
"Albuquerque, NM",304697.4118883335,300932.2292168623,297121.8467773155,293584.09642420214,290286.5099381889,287096.4591050927,284140.07388636534,281515.94554484816,279090.4561640751,276854.65246776736,274799.9847316952,272844.7142040036,271065.94427842845,269519.972401112,268124.0436167253,266871.39501603413,265755.5685151744,264732.9963859941,263843.74501196167,263112.1648831639,262493.920676251,261983.9039884456,261563.1778596812,261247.9096546951,261067.7527375383
"Allentown, PA",293971.00708678673,288392.03454427054,282811.01265658665,277649.104141736,272882.06010550924,268820.12159091537,266177.40358743945,264670.57849534677,263977.8745512588,263914.66963469,264325.35177820845,265126.29347514,266197.8913271825,267413.1162592488,268757.64298153867,270194.5614678076,271697.26676380885,273312.3127626606,274962.3868662954,276570.10477884795,278193.9763217993,279829.2790002089,281541.3146320517,283259.3817974061,284636.9323674185
"Anchorage, AK",402218.4569295471,424306.23570861784,448494.9167352663,474889.7975686579,503716.08858368214,536618.261096767,572695.1635604138,610694.5848365552,652310.0156975831,697910.5808682163,747903.0855768342,805171.4358592505,868174.4096525927,934736.653924377,1007830.6202336708,1088123.0712210145,1176348.8331120568,1277630.6453529284,1389271.1045729711,1507427.3548988018,1637382.078589748,1780339.6718540515,1944627.8182549896,2125894.0129464334,2284173.5713132066
"Ann Arbor, MI",389901.4870769626,412347.81208617566,437242.46611171233,464865.3820522737,495541.3450129646,531162.0607784925,570895.5840281375,613468.3267274419,660873.8140002495,713687.3584459863,772552.7605764908,841138.9274593233,917877.6466659872,1000325.2659750724,1092352.5223460305,1195099.8207425012,1309843.3252881735,1443774.7742320811,1593866.5004681984,1755355.5091987352,1935833.6130162245,2137561.3629365694,2373214.4130659685,2637493.1944567733,2871605.0459699044
"Asheville, NC",491186.4420595413,533918.6222770946,581832.5394866794,635586.3203806122,695941.3497095047,766821.0970031199,846778.5042480254,933413.201369648,1030936.0668879048,1140766.66910565,1264509.6555872855,1410289.824152921,1575201.5092345,1754329.903531358,1956405.530333767,2184420.184286745,2441755.721677633,2745391.4008380566,3089347.4848345085,3463409.8934724946,3885834.474744272,4362926.550612834,4926230.754341673,5564710.57541442,6135640.642502341
"Atlanta, GA",401621.1557893089,445028.6694788264,496222.92566557013,556444.6930260325,627346.579677547,714790.8712565152,818381.3375065099,936244.2770544247,1075393.76340948,1239746.7817555622,1433941.090498859,1674194.2068459669,1959562.203797984,2284972.857946548,2669861.3790082824,3125172.422571823,3663864.5948291216,4331088.934562908,5124371.149664996,6029701.856560945,7101222.8189553665,8369515.078217375,9941006.975821707,11809983.112428077,13467207.962989535
"Augusta, GA",239312.21483387987,253136.73069123417,268303.48365117185,284951.44747732865,303239.00762431574,324235.85036160174,347392.8309738368,371923.819525383,398937.333978764,428698.83011918375,461502.148843095,499284.95682672167,541075.3098920232,585461.6025944214,634453.5431970778,688543.6123137233,748276.9513693699,817201.5273133963,893561.0071901339,974783.3868005398,1064550.2865569296,1163775.3695565832,1278368.040478113,1405421.6931623006,1516841.5322355495
"Austin, TX",478767.7841072388,518239.84716613265,571086.314383399,632891.1803684497,705287.3959249569,794155.3714853933,898987.6329504639,1017807.9790278568,1157612.1520257425,1322224.9718985285,1516168.4263641124,1755454.4977447367,2038950.4814924963,2361456.3254259997,2742072.701507565,3191391.6873292974,3721936.02784376,4377775.07718824,5156044.679529921,6042616.969308074,7090114.811861978,8327870.857892718,9858904.103668772,11676712.546081878,13370182.04241483
