Metro,Year,Forecasted_Price
"New York, NY",2025,692359.90849917
"New York, NY",2026,732877.038198716
"New York, NY",2027,777268.6340068517
"New York, NY",2028,825923.860852746
"New York, NY",2029,879285.4426871251
"New York, NY",2030,940444.0641479181
"New York, NY",2031,1007767.8770421663
"New York, NY",2032,1078945.2107609443
"New York, NY",2033,1157167.534318446
"New York, NY",2034,1243166.3804637769
"New York, NY",2035,1337749.2423342452
"New York, NY",2036,1446438.931820486
"New York, NY",2037,1566373.43822826
"New York, NY",2038,1693450.8090562986
"New York, NY",2039,1833377.6788505202
"New York, NY",2040,1987488.3049368493
"New York, NY",2041,2157255.4903243114
"New York, NY",2042,2352638.052821892
"New York, NY",2043,2568530.2635540175
"New York, NY",2044,2797564.8387909182
"New York, NY",2045,3050035.874187693
"New York, NY",2046,3328376.9485744857
"New York, NY",2047,3648952.9281444196
"New York, NY",2048,4003417.924406599
"New York, NY",2049,4313510.065130053
"Los Angeles, CA",2025,935062.7437615964
"Los Angeles, CA",2026,1033241.9009030171
"Los Angeles, CA",2027,1147376.6451740765
"Los Angeles, CA",2028,1279995.7065819465
"Los Angeles, CA",2029,1434253.662641952
"Los Angeles, CA",2030,1622156.3560342453
"Los Angeles, CA",2031,1842031.7726896366
"Los Angeles, CA",2032,2089164.9918741593
"Los Angeles, CA",2033,2377497.0460798293
"Los Angeles, CA",2034,2714065.035765215
"Los Angeles, CA",2035,3107108.056125837
"Los Angeles, CA",2036,3438237.781506372
"Los Angeles, CA",2037,3407767.4450214542
"Los Angeles, CA",2038,3529673.9624223863
"Los Angeles, CA",2039,3717380.481691211
"Los Angeles, CA",2040,3735143.5233194525
"Los Angeles, CA",2041,4263765.292400432
"Los Angeles, CA",2042,4508112.387192219
"Los Angeles, CA",2043,4826142.399528166
"Los Angeles, CA",2044,5042193.625371144
"Los Angeles, CA",2045,5307020.885588507
"Los Angeles, CA",2046,5612007.295435739
"Los Angeles, CA",2047,6282342.930275508
"Los Angeles, CA",2048,6954642.900493725
"Los Angeles, CA",2049,7021838.092705131
"Chicago, IL",2025,335247.8349146167
"Chicago, IL",2026,352549.7560093888
